frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,total_ms
0,229.438,6.391,14.081,5.809,255.72
1,21.425,8.07,14.852,3.332,47.678
2,87.611,4.727,12.15,3.208,107.696
3,32.735,4.361,13.189,2.965,53.25
4,89.169,4.691,12.491,3.011,109.362
5,13.292,4.093,13.037,2.983,33.405
6,73.326,4.626,11.924,3.13,93.006
7,53.286,4.666,11.969,3.147,73.067
8,74.042,4.593,12.109,3.005,93.75
9,13.04,4.477,11.98,3.151,32.648
10,68.074,4.535,11.898,3.088,87.594
11,40.767,4.662,12.194,3.179,60.801
12,56.123,4.512,12.033,3.099,75.767
13,13.784,4.538,11.942,3.126,33.389
14,65.217,4.493,11.897,3.004,84.61
15,41.48,4.652,15.042,7.22,68.394
16,60.741,4.755,12.11,3.229,80.836
17,32.284,3.95,11.905,2.97,51.109
18,43.578,4.52,11.908,2.978,62.984
19,62.047,4.739,12.086,3.095,81.967
20,32.748,6.909,12.262,3.083,55.003
21,42.76,4.664,11.956,2.989,62.368
22,33.745,4.588,12.867,3.09,54.289
23,79.842,4.611,13.096,3.44,100.989
24,16.599,4.784,12.95,3.152,37.485
25,59.533,4.895,12.997,3.178,80.603
26,21.741,4.341,12.944,2.921,41.947
27,86.728,4.575,13.134,2.396,106.833
28,32.098,9.413,24.532,5.61,71.653
29,48.245,4.982,18.046,3.893,75.166
30,135.44,9.786,17.75,3.151,166.127
31,45.625,8.735,19.315,4.945,78.621
32,64.968,4.991,15.022,3.325,88.307
33,107.926,5.098,12.831,3.019,128.874
34,21.612,8.438,19.417,5.028,54.494
35,190.949,8.761,12.916,3.056,215.683
36,23.221,8.308,16.894,6.838,55.261
37,127.809,8.609,18.331,3.047,157.796
38,14.992,4.415,21.465,3.269,44.141
39,151.895,9.964,15.579,3.0,180.439
40,21.241,9.352,23.458,5.164,59.214
41,131.439,8.224,19.556,4.984,164.202
42,28.405,7.93,18.578,7.027,61.94
43,178.328,8.616,16.735,3.095,206.774
44,18.645,10.327,18.523,6.113,53.607
45,114.695,5.113,15.969,3.088,138.865
46,57.851,8.705,25.201,7.319,99.075
47,40.231,14.436,33.779,13.176,101.622
48,66.272,6.956,22.571,4.945,100.744
49,86.318,10.907,21.258,6.178,124.662
50,56.46,7.203,18.381,6.097,88.142
51,123.873,8.579,22.347,5.038,159.838
52,62.056,8.559,19.253,4.771,94.638
53,98.259,8.646,23.189,4.95,135.044
54,45.486,8.415,19.043,5.051,77.994
55,167.802,4.096,12.708,2.963,187.569
56,18.816,7.321,18.861,4.945,49.943
57,142.14,7.757,14.767,2.926,167.589
58,20.492,7.739,18.765,6.467,53.462
59,213.804,8.084,14.657,3.092,239.638
60,20.666,8.142,20.145,5.012,53.965
61,107.557,8.101,16.458,3.911,136.026
62,16.832,4.556,14.057,3.037,38.483
63,186.979,4.666,12.717,2.918,207.281
64,22.719,8.26,20.947,6.308,58.234
65,141.886,8.682,15.237,3.34,169.144
66,22.437,8.572,22.347,5.335,58.691
67,188.443,4.782,13.115,2.166,208.507
68,11.37,4.563,14.014,3.118,33.066
69,69.037,4.314,13.177,3.25,89.778
70,13.615,4.792,13.44,3.114,34.961
71,89.292,4.672,12.934,2.169,109.067
72,13.264,4.415,12.92,3.097,33.697
73,67.197,4.737,13.09,2.287,87.311
74,11.757,4.612,12.814,2.976,32.159
75,93.434,4.575,13.621,4.349,115.978
76,11.838,4.466,13.78,2.897,32.982
77,69.707,4.457,12.909,2.02,89.094
78,13.592,4.219,12.801,3.012,33.623
79,118.748,3.841,12.575,2.222,137.387
