frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,total_ms
0,371.418,43.75,21.731,324.667,761.566
1,19.047,10.443,21.921,2.654,54.065
2,63.117,6.236,18.243,2.533,90.129
3,80.932,7.282,19.416,2.679,110.309
4,28.616,5.719,19.297,2.676,56.307
5,51.509,5.747,18.74,2.467,78.463
6,18.414,5.652,18.68,2.519,45.265
7,96.861,6.009,19.013,2.472,124.354
8,13.408,5.589,18.574,2.643,40.214
9,71.201,5.928,16.361,2.02,95.51
10,13.314,5.688,18.731,2.532,40.265
11,89.137,6.05,16.594,1.965,113.746
12,13.293,5.634,18.75,2.794,40.47
13,55.948,5.834,19.536,2.451,83.769
14,13.705,5.532,18.579,2.493,40.309
15,96.66,11.885,21.056,2.893,132.495
16,12.914,5.65,18.23,2.487,39.28
17,50.281,5.686,22.156,2.582,80.705
18,13.744,5.543,18.532,2.373,40.192
19,90.033,5.973,14.994,1.978,112.979
20,13.278,5.608,18.604,2.562,40.052
21,57.982,5.974,18.644,2.471,85.072
22,13.471,5.736,18.46,2.353,40.02
23,87.529,5.803,15.941,1.724,110.997
24,13.101,5.391,18.162,2.289,38.942
25,58.165,5.755,19.487,2.554,85.961
26,11.616,5.397,18.418,2.505,37.935
27,96.492,6.103,13.392,1.833,117.821
28,11.288,5.384,18.341,2.485,37.498
29,61.395,5.861,17.097,1.954,86.307
30,13.856,5.545,22.203,2.429,44.033
31,103.598,5.904,16.585,1.75,127.837
32,13.034,5.241,18.012,2.477,38.763
33,60.821,5.682,18.83,2.57,87.903
34,13.724,5.548,18.055,2.564,39.891
35,88.215,5.808,17.229,1.881,113.132
36,11.332,5.314,17.951,2.535,37.131
37,62.852,5.829,16.106,1.759,86.545
38,13.669,5.56,17.722,2.518,39.47
39,86.06,5.918,16.127,1.912,110.018
40,12.878,5.505,18.811,2.418,39.612
41,57.186,5.596,18.591,2.555,83.927
42,14.958,5.649,17.903,2.509,41.019
43,84.9,5.932,16.924,1.939,109.695
44,12.95,5.915,22.21,2.595,43.67
45,60.82,5.629,21.211,3.032,90.692
46,36.032,5.606,17.76,2.376,61.775
47,64.275,5.865,19.514,2.394,92.048
48,26.321,5.654,18.135,2.665,52.775
49,50.565,5.762,18.847,6.283,81.458
50,28.483,9.428,19.476,2.396,59.782
51,82.167,5.957,16.956,1.903,106.982
52,12.897,5.258,17.893,2.532,38.579
53,65.504,5.83,17.975,1.835,91.143
54,13.259,5.361,18.304,2.504,39.428
55,85.909,5.902,16.226,1.904,109.941
56,12.806,6.223,19.795,2.977,41.801
57,58.807,5.696,18.329,1.94,84.771
58,13.297,5.423,22.164,2.569,43.452
59,83.548,5.877,25.191,2.959,117.577
60,20.103,5.613,18.309,2.653,46.678
61,56.089,5.777,18.73,2.474,83.07
62,18.147,5.753,17.814,2.366,44.081
63,83.807,6.124,16.625,1.958,108.514
64,11.03,5.28,18.522,2.559,37.39
65,63.167,6.033,17.708,1.886,88.793
66,13.198,5.267,17.61,2.299,38.374
67,85.288,5.807,17.336,1.742,110.174
68,13.072,5.506,18.925,2.358,39.861
69,58.821,5.807,18.642,2.47,85.74
70,14.051,5.528,18.042,2.475,40.096
71,81.734,6.329,20.373,2.001,110.437
72,13.714,6.074,19.288,2.579,41.655
73,67.841,5.962,18.498,2.216,94.518
74,14.11,5.653,18.391,2.497,40.651
75,90.184,6.728,20.173,2.635,119.721
76,29.398,5.658,18.421,2.527,56.003
77,49.166,8.517,18.99,2.521,79.193
78,19.549,5.624,18.14,2.531,45.845
79,72.808,5.618,19.783,2.65,100.859
80,15.403,5.633,18.647,2.303,41.985
81,54.321,5.931,18.81,2.45,81.511
82,20.959,5.643,17.592,2.479,46.674
83,73.185,5.882,19.54,2.436,101.043
84,17.903,5.766,18.653,2.466,44.788
85,56.478,5.76,19.09,2.572,83.9
86,16.333,5.629,18.061,2.512,42.535
87,83.65,5.916,18.026,1.869,109.462
88,12.776,5.596,18.66,2.302,39.334
89,58.067,5.639,22.563,5.099,91.368
90,31.415,5.617,18.043,2.469,57.543
91,74.336,5.748,19.913,1.861,101.857
92,12.882,5.467,18.431,2.641,39.422
