frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,draw_write_ms,total_ms
0,237.769,31.791,12.078,265.853,109.497,656.988
1,17.961,9.784,19.688,2.418,110.654,160.505
2,18.957,6.314,17.734,2.418,116.435,161.859
3,18.798,5.694,17.963,2.465,126.162,171.082
4,11.734,5.656,17.31,2.365,106.625,143.691
5,12.048,5.484,16.739,2.312,103.746,140.329
6,12.518,5.662,17.318,2.252,117.426,155.176
7,12.485,5.545,17.071,2.268,113.133,150.503
8,12.647,5.649,18.95,2.67,109.707,149.623
9,12.957,5.676,17.687,2.293,98.592,137.205
10,12.622,5.664,17.658,2.427,128.104,166.475
11,12.339,5.508,16.715,2.368,156.851,193.78
12,16.806,11.663,38.573,4.494,120.008,191.545
13,21.028,11.221,37.542,5.356,160.976,236.123
14,21.307,12.244,29.803,6.364,196.319,266.037
15,20.42,11.44,31.761,4.176,184.01,251.808
16,22.671,11.289,31.575,4.683,155.128,225.346
17,20.623,11.358,29.177,4.145,155.687,220.989
18,21.622,9.092,37.411,6.669,175.098,249.891
19,20.078,11.673,29.695,2.368,211.942,275.756
20,21.042,11.559,32.144,5.471,190.132,260.347
21,20.507,18.85,49.17,5.071,176.919,270.516
22,24.851,11.606,39.521,2.345,173.113,251.436
23,19.231,11.412,31.628,4.269,186.059,252.599
24,27.518,12.096,36.121,4.497,153.617,233.848
25,20.584,10.748,49.397,7.565,167.511,255.805
26,29.843,11.119,32.584,4.321,184.195,262.061
27,21.066,11.805,39.081,4.529,165.387,241.868
28,11.016,5.821,17.261,2.332,119.527,155.956
29,11.706,5.52,16.951,2.376,95.614,132.167
30,11.042,5.443,17.219,2.285,109.658,145.647
31,12.722,5.612,17.28,2.252,108.589,146.455
32,11.153,5.524,17.076,2.339,102.739,138.832
33,12.466,5.661,17.741,2.524,96.074,134.466
34,13.862,5.869,18.703,2.517,118.584,159.534
35,12.628,5.996,17.424,2.301,121.775,160.125
36,12.744,5.672,17.54,2.464,88.41,126.829
37,12.917,5.711,17.012,2.401,99.258,137.299
38,12.812,5.562,19.37,2.61,109.703,150.056
39,12.739,5.46,17.938,2.615,103.111,141.864
40,12.985,5.766,17.519,2.41,106.686,145.366
41,13.613,5.934,16.885,2.249,105.911,144.592
42,13.738,5.99,18.471,2.364,126.63,167.193
43,16.953,6.3,19.008,2.552,107.186,151.998
44,11.123,5.753,17.433,2.334,103.532,140.175
45,12.638,5.739,17.624,2.47,106.338,144.81
46,16.615,10.179,28.482,2.292,107.614,165.182
47,12.872,5.57,17.333,2.428,106.221,144.424
48,13.134,5.743,21.074,2.507,97.011,139.469
49,12.679,6.055,17.904,2.462,116.025,155.124
50,12.799,5.874,18.005,2.452,111.662,150.793
51,12.66,5.495,17.06,2.454,105.516,143.184
52,12.678,5.63,17.537,2.295,104.722,142.862
53,12.665,5.444,17.371,2.459,102.755,140.695
54,12.84,5.413,17.14,2.504,109.226,147.124
55,12.81,6.891,17.802,2.597,105.474,145.574
56,12.653,5.827,18.884,2.568,106.996,146.928
57,12.149,5.695,19.408,2.815,100.854,140.921
58,13.343,5.416,16.793,2.327,108.237,146.116
59,12.454,5.347,16.964,2.252,103.977,140.994
60,12.744,5.542,16.666,2.256,85.996,123.205
61,12.368,5.715,18.615,2.556,112.468,151.721
62,13.063,5.739,18.835,2.312,118.798,158.747
63,12.407,5.543,17.132,2.44,103.032,140.554
64,12.657,5.613,16.63,2.398,115.574,152.871
65,12.233,5.664,17.189,2.23,97.369,134.685
66,12.857,5.484,16.496,2.209,110.389,147.435
67,12.665,5.573,16.869,2.24,105.895,143.243
68,12.38,6.001,16.665,2.387,102.775,140.209
69,12.824,7.338,18.389,2.569,106.561,147.681
70,12.454,5.463,17.191,2.186,108.968,146.262
71,12.347,5.601,18.271,2.284,121.447,159.949
72,12.398,5.621,17.356,2.299,88.398,126.07
73,12.58,5.456,16.956,2.458,106.159,143.61
74,13.297,5.629,17.238,2.454,111.951,150.569
75,13.461,5.544,17.012,2.255,104.183,142.455
76,12.962,5.57,17.482,2.313,110.52,148.847
77,12.676,5.514,16.963,2.302,98.133,135.587
78,12.747,5.762,17.447,2.299,118.654,156.908
79,12.548,5.622,17.033,2.377,103.85,141.43
80,12.434,5.588,17.208,2.472,108.651,146.353
81,12.471,5.809,17.668,2.281,100.695,138.924
82,13.096,5.831,17.911,2.305,116.075,155.219
83,13.315,5.69,17.558,2.259,108.141,146.962
84,10.966,5.848,18.928,2.538,90.17,128.451
85,12.557,5.579,17.473,2.229,112.848,150.686
86,18.824,6.98,17.095,2.316,108.895,154.111
87,11.657,5.814,17.927,2.291,107.034,144.723
88,11.914,5.617,17.508,2.298,105.56,142.897
89,11.894,5.571,17.028,2.36,104.517,141.371
90,12.401,5.738,17.262,2.396,111.826,149.624
91,10.906,5.529,17.37,2.44,106.765,143.01
92,12.644,5.783,17.636,2.485,104.52,143.069
93,12.419,5.966,23.543,2.439,104.071,148.437
94,11.682,5.54,17.89,2.487,113.004,150.603
95,12.977,5.701,18.037,2.306,105.832,144.852
96,12.739,5.863,18.123,2.417,120.617,159.758
97,20.608,6.535,26.72,3.078,147.874,204.816
98,18.008,6.281,22.601,2.485,168.904,218.279
99,22.135,11.564,36.61,5.756,183.848,259.914
100,21.086,11.371,29.803,6.193,188.55,257.002
101,23.449,13.481,31.85,4.212,165.813,238.805
102,12.384,5.512,15.109,2.305,174.06,209.37
103,12.106,5.258,15.281,2.284,233.237,268.165
104,22.226,11.664,21.921,2.49,154.189,212.491
105,12.396,5.758,24.868,4.038,146.771,193.83
106,19.288,11.521,36.188,9.074,156.777,232.848
107,18.857,11.344,32.104,4.202,176.477,242.984
