frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,draw_write_ms,total_ms
0,335.246,39.795,15.411,317.989,155.362,863.803
1,32.833,17.199,37.989,5.432,183.275,276.729
2,22.468,7.332,26.074,4.597,211.972,272.444
3,32.927,11.402,40.142,7.18,140.267,231.917
4,12.314,5.548,17.505,2.478,102.579,140.425
5,12.478,5.46,19.048,2.288,98.194,137.467
6,12.361,5.839,17.705,2.707,122.43,161.042
7,12.525,5.427,17.197,2.311,124.606,162.066
8,11.24,5.578,17.065,2.436,107.92,144.239
9,12.406,5.491,17.339,2.381,113.012,150.629
10,10.984,5.828,16.794,2.276,112.529,148.411
11,10.796,5.495,18.116,2.356,105.401,142.164
12,12.574,5.434,16.937,2.268,84.312,121.526
13,12.138,5.351,16.734,2.366,98.563,135.153
14,12.47,5.636,17.041,2.318,113.592,151.057
15,11.879,5.538,17.547,2.306,103.907,141.179
16,12.378,5.537,17.099,2.31,94.071,131.395
17,12.321,5.524,16.751,2.531,89.139,126.267
18,12.599,5.554,16.678,2.352,109.626,146.809
19,12.485,5.524,18.139,3.416,99.33,138.894
20,12.443,5.528,17.44,2.437,103.356,141.204
21,12.431,5.484,17.12,2.377,96.346,133.757
22,12.683,5.56,17.446,2.336,120.403,158.428
23,12.417,5.996,17.946,2.396,107.432,146.186
24,12.486,5.78,17.397,2.342,85.252,123.257
25,12.47,5.484,17.113,2.321,102.468,139.856
26,12.514,5.545,16.847,2.284,108.296,145.487
27,12.497,5.509,16.944,2.323,101.235,138.509
28,10.964,5.683,17.322,2.33,103.943,140.241
29,12.506,5.507,17.072,2.491,99.006,136.583
30,20.09,5.907,16.89,2.306,107.51,152.703
31,12.369,5.533,16.612,2.303,101.675,138.492
32,12.313,5.635,16.787,2.274,101.721,138.73
33,12.386,5.505,17.139,2.303,95.187,132.521
34,12.744,5.716,17.97,2.464,107.025,145.919
35,12.56,5.495,16.653,2.337,101.515,138.56
36,12.151,5.386,16.441,2.294,86.3,122.572
37,12.337,5.509,17.184,2.295,113.347,150.673
38,12.625,5.505,17.001,2.261,106.245,143.636
39,12.323,5.479,17.103,2.314,100.513,137.731
40,12.446,5.694,20.094,2.636,103.44,144.31
41,13.151,5.515,16.453,2.257,98.651,136.027
42,12.027,5.79,17.758,2.341,119.977,157.891
43,10.853,5.582,17.534,2.321,104.275,140.566
44,11.105,5.585,17.085,2.314,115.386,151.475
45,12.246,5.549,16.983,2.281,96.0,133.06
46,12.672,5.693,17.147,2.314,111.108,148.933
47,13.211,5.824,17.606,2.33,104.926,143.897
48,12.252,5.553,17.2,2.304,88.122,125.431
49,12.437,5.786,17.708,2.358,101.225,139.514
50,12.662,5.511,17.13,2.252,107.792,145.347
51,12.316,5.477,17.16,2.366,106.186,143.505
52,17.03,12.585,19.846,2.333,100.859,152.653
53,12.329,5.65,17.037,2.39,97.196,134.602
54,12.998,5.55,18.132,2.497,109.781,148.958
55,12.461,5.498,17.3,2.482,103.989,141.729
56,10.839,5.607,19.38,2.399,99.572,137.796
57,12.324,5.718,17.138,2.374,93.614,131.168
58,12.546,5.471,16.982,2.257,107.765,145.021
59,12.697,5.524,17.394,2.766,111.382,149.763
60,12.047,5.573,16.963,2.352,82.278,119.213
61,12.197,5.402,16.915,2.323,103.319,140.155
62,13.011,5.536,17.294,2.343,110.012,148.196
63,12.174,5.65,17.347,2.319,102.115,139.606
64,12.376,5.602,17.817,2.331,102.761,140.886
65,10.815,5.392,17.112,2.276,96.766,132.362
66,11.54,5.785,16.529,2.258,119.903,156.014
67,12.253,5.492,16.833,2.312,104.209,141.098
68,12.164,5.443,16.722,3.024,104.028,141.381
69,12.447,7.514,17.118,2.394,101.919,141.392
70,12.485,5.489,16.746,2.301,109.873,146.894
71,12.532,5.598,18.144,2.332,103.575,142.18
72,12.126,5.518,17.192,2.335,86.869,124.039
73,12.316,5.45,17.13,2.325,102.669,139.891
74,12.719,6.475,39.288,4.812,186.726,250.019
75,16.75,11.502,35.91,4.202,184.648,253.012
76,18.868,9.655,33.871,4.54,170.097,237.031
77,20.067,11.835,29.235,6.241,159.375,226.753
78,17.115,11.594,31.99,2.112,170.201,233.012
79,12.547,6.019,18.64,2.51,157.212,196.928
80,23.814,9.414,31.943,4.161,184.339,253.67
81,19.871,11.075,29.002,4.101,172.191,236.24
82,18.092,11.265,31.896,4.16,193.159,258.571
83,26.558,9.357,39.936,7.738,183.88,267.469
84,20.546,11.747,31.794,4.371,152.772,221.23
85,21.481,11.092,29.431,3.222,175.47,240.697
86,19.627,11.34,29.508,6.499,193.551,260.525
87,22.008,11.554,34.822,10.774,173.09,252.248
88,20.148,11.5,41.544,3.959,172.202,249.353
89,19.904,11.533,44.655,3.558,168.971,248.622
90,20.053,11.613,36.839,6.611,133.645,208.761
91,12.559,5.552,17.107,2.336,107.703,145.257
92,11.199,5.998,17.625,2.321,123.635,160.777
93,12.3,5.526,17.319,2.311,98.15,135.606
94,12.541,5.439,17.421,2.269,106.422,144.091
95,12.335,5.486,17.386,2.373,101.318,138.898
96,12.137,5.514,17.464,2.358,116.05,153.523
97,21.733,10.386,16.855,2.338,97.939,149.251
98,11.029,5.576,17.615,2.305,110.57,147.095
99,12.413,5.822,17.056,2.3,118.717,156.308
100,11.893,5.522,16.997,2.653,104.205,141.27
101,12.938,5.637,17.015,2.274,95.586,133.45
102,12.772,5.534,17.321,2.312,104.947,142.886
103,12.602,5.538,17.412,2.312,108.228,146.093
104,12.369,5.555,17.334,2.29,98.149,135.697
105,12.307,5.606,17.61,2.441,92.334,130.298
