frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,total_ms
0,257.706,28.124,6.963,546.973,839.766
1,18.701,9.563,6.781,3.111,38.156
2,69.032,6.797,6.677,2.885,85.391
3,60.055,4.932,6.876,3.033,74.896
4,68.066,4.951,8.412,3.179,84.607
5,25.859,4.924,8.191,3.058,42.032
6,64.096,4.603,8.254,2.897,79.85
7,62.943,5.085,8.203,2.95,79.181
8,63.926,5.075,8.273,2.87,80.145
9,28.998,4.7,8.176,2.76,44.633
10,59.295,4.981,8.208,2.86,75.344
11,55.414,4.731,8.205,2.998,71.348
12,47.292,5.48,8.507,2.987,64.266
13,37.518,4.284,8.15,3.194,53.146
14,59.498,4.792,8.216,3.037,75.543
15,76.352,4.855,8.255,2.983,92.445
16,28.879,5.03,8.175,2.857,44.941
17,49.457,4.527,8.173,3.005,65.161
18,28.551,4.669,8.085,2.834,44.139
19,86.525,4.673,8.202,2.948,102.348
20,13.747,4.171,8.046,2.694,28.657
21,69.937,4.779,8.27,3.026,86.012
22,15.497,4.649,8.13,2.817,31.092
23,102.556,4.812,8.114,2.139,117.62
24,13.847,4.335,8.107,2.86,29.149
25,75.056,4.93,8.203,2.646,90.834
26,13.802,4.62,8.13,2.98,29.531
27,109.337,3.781,8.048,2.192,123.359
28,13.128,4.297,8.131,2.963,28.519
29,81.225,4.97,9.13,4.971,100.297
30,18.347,4.727,8.13,3.025,34.229
31,98.838,4.778,8.212,2.173,114.001
32,13.795,4.65,8.107,2.706,29.258
33,72.713,4.656,8.167,2.885,88.421
34,11.259,4.384,8.012,2.654,26.31
35,105.404,3.84,8.053,2.625,119.922
36,13.978,5.136,8.687,3.021,30.823
37,74.717,4.732,8.231,1.983,89.663
38,11.782,8.04,8.135,2.681,30.637
39,100.566,4.509,8.033,2.159,115.266
40,12.352,4.377,8.139,2.795,27.663
41,73.138,4.793,8.21,2.968,89.109
42,13.469,3.778,8.121,2.985,28.353
43,103.025,4.832,8.03,2.062,117.949
44,13.348,4.516,8.07,2.999,28.933
45,82.846,4.733,8.19,3.056,98.826
46,31.863,4.965,8.147,2.906,47.881
47,79.751,5.262,8.227,3.463,96.702
48,31.624,4.884,8.08,2.678,47.265
49,60.257,4.99,8.252,2.97,76.47
50,26.404,4.806,8.161,2.921,42.292
51,91.764,4.192,8.254,3.265,107.475
52,17.641,4.283,8.11,2.807,32.841
53,75.106,4.656,8.266,2.97,90.999
54,17.78,4.679,8.05,2.843,33.352
55,98.114,4.543,8.165,2.224,113.047
56,13.213,4.423,8.089,2.751,28.477
57,74.215,4.528,8.218,2.039,89.0
58,13.691,4.829,8.062,2.747,29.329
59,95.796,4.362,8.213,2.044,110.415
60,13.255,4.129,8.148,2.864,28.396
61,96.901,12.317,8.537,2.312,120.068
62,12.053,4.68,8.073,3.009,27.815
63,109.34,5.442,8.351,3.089,126.222
64,24.154,6.047,8.221,3.05,41.472
65,146.832,10.555,9.497,2.778,169.662
66,90.818,8.89,10.693,4.848,115.248
67,34.593,4.673,8.157,2.9,50.323
68,179.398,4.586,8.164,2.662,194.811
69,31.843,8.278,11.515,4.784,56.42
70,141.194,10.559,9.366,10.077,171.196
71,72.357,4.727,8.154,3.098,88.336
72,70.601,5.032,8.168,3.029,86.83
73,14.953,4.374,8.07,2.536,29.933
74,75.046,4.838,8.233,3.327,91.444
75,37.135,4.777,8.439,3.063,53.414
76,68.997,4.992,8.245,3.039,85.273
77,21.911,5.655,8.279,2.988,38.833
78,63.582,4.673,8.199,3.14,79.594
79,45.538,4.728,8.13,2.878,61.274
80,60.322,4.444,8.461,3.665,76.892
81,24.789,4.94,8.308,3.03,41.067
82,67.84,4.812,8.204,3.009,83.864
83,42.61,4.707,8.315,2.956,58.589
84,62.166,4.743,8.128,2.849,77.886
85,27.853,4.51,8.124,2.856,43.343
86,57.868,4.447,8.192,5.161,75.668
87,69.434,4.686,8.138,2.887,85.145
88,48.663,4.52,8.163,3.043,64.389
89,39.746,4.552,8.107,2.761,55.166
90,44.595,4.951,8.125,2.812,60.483
91,66.946,4.737,8.175,3.068,82.927
92,32.69,4.489,8.783,2.823,48.786
93,55.926,4.713,8.161,2.901,71.701
94,29.504,4.703,8.051,2.764,45.022
95,83.528,4.773,8.25,2.936,99.487
96,17.467,4.655,8.13,2.944,33.196
97,68.77,4.78,8.201,2.944,84.696
98,20.148,4.688,8.099,2.826,35.761
99,90.374,4.699,8.179,2.334,105.587
100,13.46,4.598,8.143,2.847,29.048
101,79.914,4.945,8.238,2.538,95.635
102,11.739,4.396,8.071,2.721,26.928
103,126.585,3.947,8.061,2.243,140.836
104,14.48,4.673,8.18,3.129,30.462
105,73.707,5.022,8.241,3.757,90.726
106,14.223,4.814,8.1,2.924,30.061
107,105.149,4.733,8.013,2.234,120.129
108,13.621,4.459,8.14,3.028,29.248
109,76.483,4.974,8.278,2.967,92.701
110,12.201,4.557,8.084,3.016,27.858
111,104.559,5.09,8.228,4.52,122.396
112,22.765,8.787,8.321,3.207,43.08
113,130.98,4.797,8.257,2.785,146.819
114,23.704,8.237,11.139,5.199,48.28
115,204.312,8.479,8.847,2.801,224.44
116,12.652,4.991,8.208,3.42,29.271
117,166.922,3.986,8.095,2.636,181.639
118,25.916,7.994,8.64,4.7,47.249
119,153.726,7.773,10.883,5.337,177.72
120,48.134,9.098,11.308,5.745,74.284
121,72.12,7.2,8.173,2.944,90.437
122,134.122,8.247,10.504,2.56,155.432
123,30.182,9.635,11.208,4.752,55.776
124,165.253,4.502,8.053,5.005,182.813
125,22.381,8.525,13.442,10.422,54.771
126,150.482,12.903,14.868,5.076,183.329
127,82.229,7.466,9.908,3.388,102.991
128,105.933,5.183,8.187,4.226,123.529
129,26.631,8.438,9.149,8.538,52.756
130,105.66,10.38,9.177,3.516,128.734
131,59.57,12.865,21.911,6.556,100.902
132,89.714,7.936,10.727,8.064,116.442
133,41.178,15.36,12.696,7.105,76.34
134,59.85,7.4,10.968,4.335,82.552
135,154.798,7.554,11.022,4.799,178.172
136,66.872,8.425,10.779,4.796,90.871
137,102.504,7.607,9.98,5.854,125.945
138,63.72,9.058,11.236,4.783,88.798
139,118.743,4.887,8.132,2.923,134.686
