frame,preprocess_ms,inference_ms,postprocess_ms,total_ms
0,3.601,10.488,146.188,160.277
1,6.293,9.662,1.864,17.82
2,4.977,9.364,1.59,15.931
3,2.475,9.185,1.507,13.167
4,2.461,9.018,1.973,13.453
5,2.378,9.028,1.592,12.998
6,2.427,9.003,1.586,13.015
7,2.467,9.051,1.503,13.02
8,2.4,9.114,1.477,12.991
9,2.422,8.987,1.469,12.878
10,2.429,9.06,2.277,13.767
11,2.662,8.994,1.494,13.15
12,2.438,8.99,1.547,12.975
13,2.439,7.031,1.455,10.925
14,2.394,7.052,1.457,10.903
15,2.391,7.051,1.483,10.925
16,2.357,7.089,2.152,11.598
17,2.452,7.092,1.538,11.082
18,4.898,7.048,1.466,13.412
19,2.542,7.114,1.488,11.144
20,2.406,7.086,1.489,10.981
21,2.421,7.123,1.55,11.094
22,2.372,7.11,1.744,11.226
23,2.658,7.051,1.467,11.176
24,2.471,7.041,1.533,11.045
25,2.584,7.053,1.542,11.179
26,2.407,7.088,1.592,11.087
27,2.552,7.121,1.561,11.235
28,2.501,7.107,1.46,11.068
29,2.491,7.039,1.464,10.993
30,2.475,7.065,1.437,10.977
31,2.392,6.615,1.555,10.561
32,2.548,6.613,1.504,10.664
33,2.418,6.659,1.452,10.529
34,2.538,6.745,1.525,10.808
35,2.438,6.678,1.532,10.648
36,2.441,6.578,1.431,10.45
37,2.433,6.776,1.516,10.725
38,2.396,7.018,1.767,11.181
39,3.211,9.258,2.246,14.715
40,2.703,6.813,1.569,11.085
41,2.395,6.781,1.515,10.691
42,2.35,6.87,1.519,10.74
43,2.352,6.553,1.487,10.392
44,2.353,6.71,1.51,10.572
45,2.355,9.339,2.078,13.772
46,2.762,12.232,2.29,17.284
47,2.806,12.895,2.614,18.315
48,2.914,7.592,1.515,12.021
49,2.438,6.503,1.525,10.466
50,2.392,6.574,1.494,10.459
51,2.48,6.731,1.442,10.653
52,2.478,6.503,1.512,10.494
53,2.355,6.588,1.442,10.384
54,2.547,6.489,1.511,10.548
55,2.621,6.536,1.529,10.685
56,2.395,6.59,1.506,10.49
57,2.441,6.632,1.533,10.606
58,2.419,6.667,1.522,10.608
59,2.349,6.806,1.504,10.659
60,2.396,6.586,1.503,10.485
61,2.343,6.755,1.43,10.529
62,2.366,6.527,1.492,10.385
63,2.409,6.711,1.446,10.566
64,2.379,6.749,1.53,10.658
65,2.361,6.573,1.498,10.432
66,2.486,6.576,1.503,10.565
67,2.428,6.573,1.49,10.492
68,2.451,6.745,1.438,10.634
69,2.362,6.546,1.515,10.423
70,2.326,6.529,1.5,10.355
71,2.496,6.634,1.505,10.635
72,2.349,6.62,1.565,10.534
73,2.7,6.836,1.517,11.053
74,2.371,6.933,1.44,10.744
75,2.47,6.892,1.548,10.91
76,2.406,6.655,1.545,10.606
77,2.378,6.868,1.535,10.781
78,2.399,6.722,1.52,10.642
79,2.372,6.679,1.534,10.586
80,2.38,6.79,1.7,10.87
81,2.416,6.896,1.707,11.019
82,2.435,7.174,1.503,11.112
83,2.469,7.325,1.713,11.507
84,2.452,6.949,1.575,10.976
85,2.716,6.869,1.722,11.306
86,2.538,7.138,1.757,11.434
87,2.506,7.092,1.64,11.238
88,2.526,6.613,1.517,10.656
89,2.463,6.753,1.514,10.73
90,2.425,6.685,1.616,10.726
91,2.472,6.712,1.536,10.72
92,2.347,6.915,1.514,10.777
93,2.411,6.716,1.502,10.629
94,2.452,6.673,1.526,10.652
95,2.463,6.842,1.603,10.908
96,2.382,6.911,1.67,10.963
97,2.683,6.995,1.775,11.453
98,2.393,6.796,1.506,10.695
99,2.364,6.665,1.534,10.563
100,2.345,6.826,1.506,10.678
101,2.434,6.579,1.509,10.521
102,2.54,6.659,1.517,10.716
103,2.357,6.852,1.547,10.755
104,2.404,6.647,1.516,10.567
105,2.627,6.675,1.468,10.77
106,2.453,6.477,1.48,10.41
107,2.626,7.489,1.546,11.661
108,2.388,6.891,1.454,10.733
109,2.344,7.199,1.456,11.0
110,2.418,6.693,1.539,10.651
111,2.455,6.675,1.743,10.873
112,2.405,6.932,1.583,10.919
113,2.424,6.656,1.519,10.599
114,2.641,6.951,1.544,11.136
115,2.401,6.866,1.507,10.774
116,2.51,7.014,2.01,11.534
117,2.816,10.411,2.167,15.394
118,2.771,7.038,1.658,11.467
119,2.359,7.072,1.531,10.962
120,2.388,6.657,1.542,10.587
121,2.342,6.708,1.534,10.584
122,2.398,6.69,1.53,10.618
123,2.347,6.614,1.541,10.502
124,2.388,6.588,1.508,10.484
125,2.386,6.733,1.541,10.66
126,2.409,6.69,1.494,10.593
127,2.359,7.049,2.265,11.674
128,3.04,6.729,1.521,11.29
129,2.435,7.039,1.501,10.975
130,2.372,8.682,1.736,12.79
131,2.591,6.808,1.655,11.053
132,2.474,6.786,1.443,10.703
133,2.378,6.765,1.542,10.684
134,2.42,6.802,1.549,10.77
135,2.361,8.551,1.574,12.486
136,2.587,6.861,1.493,10.94
137,2.377,6.873,1.519,10.769
138,2.372,6.666,1.531,10.569
139,2.387,6.903,2.0,11.29
140,2.862,11.69,2.268,16.82
141,3.019,13.008,1.772,17.8
142,2.534,7.14,1.671,11.344
143,2.36,6.639,1.501,10.5
144,2.446,6.85,1.501,10.797
145,2.506,6.609,1.445,10.56
146,2.359,6.617,1.506,10.481
147,2.391,6.912,1.5,10.802
148,2.406,6.584,1.608,10.598
149,2.509,6.789,1.506,10.804
150,2.362,6.62,1.489,10.47
151,2.344,6.595,1.517,10.456
152,2.372,6.545,1.503,10.419
153,2.385,6.623,1.74,10.747
154,2.532,6.739,1.437,10.708
155,2.471,6.524,1.503,10.498
156,2.328,6.635,1.511,10.475
157,2.389,6.624,1.61,10.624
158,2.351,6.866,1.492,10.709
159,2.375,6.612,1.432,10.42
160,2.408,6.542,1.498,10.448
161,2.769,8.376,1.596,12.742
162,2.34,6.763,1.491,10.594
163,2.384,6.614,1.48,10.479
164,2.367,6.555,1.486,10.409
165,2.377,6.554,1.486,10.417
166,2.364,6.603,1.487,10.454
167,2.335,6.789,1.488,10.612
168,2.326,6.551,1.434,10.311
169,2.481,6.533,1.519,10.534
170,2.431,6.709,1.494,10.634
171,2.408,6.555,1.507,10.47
172,2.429,8.031,1.671,12.131
173,2.338,6.796,1.502,10.636
174,2.47,6.556,1.498,10.524
175,2.37,6.569,1.527,10.467
176,2.338,6.594,1.497,10.429
177,2.347,6.589,1.532,10.467
178,2.35,6.577,1.495,10.423
179,2.345,6.665,1.632,10.642
180,2.398,6.698,1.499,10.595
181,2.323,6.716,1.568,10.607
182,2.596,6.492,1.511,10.6
183,2.34,7.148,1.492,10.98
184,2.506,6.555,1.49,10.55
185,2.443,6.864,1.495,10.802
186,2.368,6.92,1.44,10.729
187,2.387,6.524,1.496,10.407
188,2.345,6.585,1.457,10.386
189,2.335,6.652,1.486,10.473
190,2.342,6.565,1.468,10.375
191,2.373,6.688,1.55,10.612
192,2.375,6.573,1.497,10.445
193,2.323,6.583,1.491,10.397
194,2.325,7.305,1.503,11.134
195,2.35,6.518,1.489,10.357
196,2.58,6.623,1.5,10.703
197,2.379,6.53,1.493,10.402
198,2.584,7.369,54.437,64.391
199,7.519,8.367,1.66,17.546
200,2.803,7.269,1.646,11.718
201,2.455,6.904,2.003,11.363
202,2.899,10.407,2.064,15.37
203,2.901,7.435,1.712,12.048
204,2.418,6.62,1.56,10.599
205,2.377,6.736,1.51,10.623
206,4.827,6.641,1.751,13.219
207,2.533,6.691,1.588,10.812
208,2.406,6.548,1.484,10.438
209,2.424,6.635,1.507,10.566
