frame,preprocess_ms,inference_ms,postprocess_ms,total_ms
0,3.008,16.281,5.858,25.147
1,2.49,12.506,2.133,17.129
2,7.485,12.369,2.187,22.04
3,2.417,12.417,2.054,16.888
4,2.506,12.45,2.179,17.136
5,2.405,12.49,2.023,16.918
6,2.411,12.236,2.016,16.663
7,2.237,12.162,1.995,16.394
8,2.251,12.489,2.054,16.794
9,2.525,12.412,2.069,17.006
10,2.579,12.448,2.001,17.028
11,2.306,12.214,2.007,16.527
12,2.305,12.255,1.951,16.511
13,2.213,12.394,1.995,16.602
14,2.712,12.923,2.116,17.751
15,2.433,12.253,2.037,16.724
16,2.303,12.285,1.963,16.55
17,2.221,12.179,1.972,16.372
18,2.2,12.193,1.934,16.327
19,2.279,12.483,2.055,16.817
20,2.43,12.298,2.107,16.835
21,2.463,12.247,1.956,16.665
22,2.314,12.305,1.943,16.562
23,2.261,11.973,2.112,16.346
24,2.398,9.975,2.007,14.38
25,2.366,10.449,2.894,15.709
26,2.544,10.569,2.117,15.23
27,2.317,9.964,2.033,14.314
28,2.132,9.943,1.966,14.041
29,2.088,9.925,2.005,14.018
30,2.469,10.002,1.989,14.46
31,2.455,10.051,1.979,14.486
32,2.342,9.932,1.938,14.211
33,2.18,9.923,1.864,13.968
34,1.936,8.964,1.859,12.76
35,1.987,8.906,1.779,12.672
36,1.861,9.048,1.733,12.642
37,2.049,9.053,1.768,12.871
38,1.895,8.909,1.788,12.592
39,1.885,8.967,1.783,12.635
40,1.895,9.01,1.747,12.652
41,1.911,9.042,1.727,12.68
42,1.887,8.758,1.709,12.354
43,1.868,8.929,1.809,12.606
44,1.907,9.041,1.785,12.733
45,1.864,8.752,1.704,12.32
46,1.857,8.762,2.02,12.639
47,1.877,8.935,1.854,12.666
48,2.013,8.862,1.79,12.664
49,1.979,8.396,1.765,12.14
50,1.975,7.889,1.705,11.569
51,1.965,7.831,1.737,11.533
52,1.853,7.827,1.764,11.445
53,1.853,7.799,1.731,11.384
