frame,preprocess_ms,inference_ms,postprocess_ms,total_ms
0,4.014,13.489,231.422,248.924
1,6.807,13.952,1.757,22.515
2,4.809,11.117,1.673,17.599
3,2.529,10.709,1.566,14.804
4,2.494,10.449,1.573,14.516
5,2.606,11.536,2.344,16.487
6,2.865,18.729,3.079,24.674
7,3.137,12.224,1.479,16.839
8,2.462,10.423,1.501,14.386
9,2.488,10.779,1.485,14.751
10,2.528,10.594,1.438,14.56
11,2.468,10.821,1.502,14.791
12,2.444,10.126,1.458,14.028
13,2.528,12.313,1.48,16.321
14,2.496,10.071,1.489,14.056
15,2.552,10.751,1.545,14.848
16,2.463,10.311,1.491,14.265
17,2.413,10.267,1.491,14.172
18,2.485,10.426,1.546,14.457
19,2.478,10.307,1.496,14.281
20,2.407,10.641,1.517,14.564
21,2.508,10.428,1.448,14.385
22,2.477,11.596,1.472,15.546
23,2.629,10.207,1.417,14.253
24,2.509,12.445,1.44,16.394
25,2.594,10.351,1.399,14.344
26,2.495,10.086,1.401,13.983
27,2.572,10.305,1.412,14.29
28,2.572,10.092,1.389,14.053
29,2.346,10.563,1.375,14.283
30,2.355,10.079,1.423,13.858
31,2.39,10.498,1.416,14.304
32,2.336,9.952,1.387,13.676
33,2.486,10.081,1.385,13.951
34,2.427,14.264,1.412,18.103
35,2.469,10.083,1.394,13.946
36,2.339,10.038,1.382,13.759
37,2.389,10.743,1.925,15.057
38,2.492,10.568,1.407,14.467
39,2.467,10.235,1.473,14.176
40,2.429,10.091,1.509,14.029
41,2.592,11.081,1.466,15.139
42,2.52,10.196,1.407,14.123
43,2.458,10.186,1.419,14.063
44,2.386,9.981,1.396,13.764
45,2.392,10.115,1.383,13.89
46,2.416,9.954,1.383,13.754
47,2.398,10.126,1.373,13.897
48,2.461,11.608,1.547,15.616
49,2.402,10.61,1.388,14.399
50,2.379,9.958,1.385,13.722
51,2.308,10.02,1.408,13.736
52,2.363,10.079,1.43,13.872
53,2.45,10.525,1.394,14.369
54,2.42,10.28,1.481,14.181
55,2.714,11.333,1.606,15.653
56,2.643,15.397,1.851,19.891
57,2.449,10.263,1.406,14.118
58,2.458,9.963,1.384,13.805
59,2.356,10.332,1.571,14.259
60,2.457,10.023,1.379,13.858
61,2.353,10.362,1.384,14.099
62,2.35,9.993,1.396,13.74
63,2.307,9.961,1.406,13.674
64,2.351,11.55,1.787,15.688
65,2.528,10.738,1.389,14.655
66,2.454,10.733,1.391,14.577
67,2.435,10.303,1.445,14.183
68,2.352,13.095,1.468,16.915
69,2.459,10.323,1.486,14.268
70,2.45,10.118,1.413,13.981
71,2.369,11.077,1.879,15.325
72,2.69,12.369,1.403,16.462
73,2.444,10.075,1.407,13.927
74,2.359,10.013,1.431,13.803
75,2.424,12.984,2.202,17.609
76,2.74,19.378,2.054,24.172
77,2.524,10.538,1.453,14.515
78,2.389,10.192,1.416,13.997
79,2.328,10.378,1.411,14.116
80,2.441,10.083,1.412,13.937
81,2.393,10.74,1.448,14.582
82,2.59,10.056,1.506,14.152
83,2.381,9.957,1.459,13.797
84,2.332,10.075,1.398,13.805
85,2.391,9.964,1.407,13.762
86,2.399,10.107,1.435,13.941
87,2.503,10.354,1.393,14.249
88,2.415,10.504,1.399,14.319
89,2.428,10.358,1.365,14.15
90,2.429,10.256,1.454,14.138
91,2.332,10.031,1.455,13.817
92,2.337,12.915,1.497,16.749
93,2.517,10.547,1.403,14.467
94,2.432,10.279,1.397,14.109
95,2.443,11.595,1.512,15.55
96,2.664,10.253,1.401,14.318
97,2.413,10.252,1.449,14.115
98,2.554,10.117,1.394,14.065
99,2.421,10.154,1.472,14.047
100,2.351,10.185,1.41,13.946
101,2.376,10.094,1.428,13.899
102,2.326,10.9,1.398,14.624
103,2.398,10.152,1.421,13.971
104,2.368,10.574,1.39,14.332
105,2.42,10.441,1.396,14.257
106,2.419,10.708,1.476,14.603
107,2.546,10.218,1.385,14.149
108,2.366,10.333,1.398,14.097
109,2.393,10.548,1.407,14.349
110,2.401,10.834,1.455,14.69
111,2.475,10.108,1.572,14.155
112,2.504,10.344,1.414,14.261
113,2.382,10.041,1.438,13.861
114,2.349,10.083,1.409,13.841
115,2.409,10.109,1.406,13.924
116,2.374,12.362,2.149,16.885
117,2.491,10.52,1.388,14.4
118,2.665,10.333,1.414,14.412
119,2.405,10.361,1.421,14.188
120,2.385,10.069,1.431,13.885
121,2.413,10.653,1.416,14.482
122,2.474,10.413,1.507,14.394
123,2.488,10.609,1.423,14.521
124,2.759,15.193,2.13,20.082
125,2.785,10.894,1.48,15.159
126,2.385,10.1,1.413,13.897
127,2.405,10.459,1.442,14.306
128,2.402,10.118,1.41,13.93
129,2.408,10.456,1.406,14.271
130,2.408,10.102,1.387,13.896
131,2.35,10.186,1.401,13.936
132,2.545,10.297,1.894,14.737
133,3.204,11.559,1.405,16.169
134,2.452,10.497,1.416,14.365
135,2.557,10.312,1.42,14.289
136,2.443,10.417,1.396,14.255
137,2.36,10.051,1.457,13.868
138,2.374,10.787,1.427,14.588
139,2.448,10.513,1.389,14.351
140,2.461,10.017,1.475,13.953
141,2.497,10.078,1.389,13.964
142,2.427,10.087,1.386,13.9
143,2.498,10.8,1.59,14.888
144,2.426,10.155,1.391,13.972
145,2.382,10.192,1.398,13.972
146,2.476,17.896,2.272,22.645
147,2.917,15.781,1.544,20.242
148,2.463,10.136,1.401,14.0
149,2.377,10.569,1.49,14.436
150,2.386,10.294,1.549,14.229
151,2.652,10.172,1.419,14.243
152,2.484,10.915,1.412,14.811
153,2.503,10.968,1.47,14.941
154,2.577,11.523,1.646,15.746
155,2.621,11.138,1.395,15.153
156,2.687,11.975,1.693,16.356
157,2.807,11.811,1.908,16.525
158,2.795,13.319,2.344,18.459
159,3.055,12.211,1.71,16.976
160,2.986,11.433,1.61,16.029
161,2.664,11.388,1.578,15.63
162,2.593,11.721,1.54,15.854
163,2.523,11.046,1.475,15.044
164,2.722,10.972,1.545,15.239
165,2.537,11.264,1.456,15.256
166,2.684,10.67,1.427,14.781
167,2.47,10.575,1.462,14.506
168,2.521,10.309,1.436,14.265
169,2.514,13.044,1.694,17.252
170,2.402,10.369,1.464,14.236
171,2.445,10.195,1.409,14.048
172,2.408,10.22,1.476,14.104
173,2.489,10.419,1.425,14.333
174,2.412,10.704,1.408,14.524
175,2.456,10.8,1.919,15.175
176,2.758,16.425,1.499,20.681
177,2.518,10.75,1.525,14.793
178,2.519,10.263,1.43,14.212
179,2.508,10.327,1.432,14.267
180,2.467,10.127,1.416,14.01
181,2.362,10.14,1.481,13.984
182,2.408,10.505,1.409,14.323
183,2.862,11.185,1.432,15.478
184,2.461,10.242,1.4,14.103
185,2.423,10.558,1.46,14.441
186,2.394,10.722,1.424,14.539
187,2.539,10.628,1.454,14.62
188,2.408,10.268,1.434,14.11
189,2.42,11.12,1.754,15.293
190,2.431,10.208,1.485,14.125
191,2.422,10.483,1.425,14.33
192,2.375,10.103,1.427,13.905
193,2.363,10.222,1.419,14.004
194,2.351,10.058,1.431,13.84
195,2.342,10.213,1.415,13.97
196,2.483,10.717,1.413,14.613
197,2.425,10.065,1.463,13.954
198,2.424,10.245,72.041,84.71
199,5.874,11.888,1.58,19.342
200,4.807,10.426,1.883,17.116
201,2.428,10.475,1.483,14.386
202,2.366,10.054,1.381,13.802
203,2.397,9.922,1.399,13.718
204,2.362,10.123,1.408,13.894
205,2.47,10.963,1.555,14.988
206,2.435,9.916,1.361,13.712
207,2.456,10.288,1.389,14.133
208,2.327,10.005,1.378,13.71
209,2.412,13.631,2.136,18.178
210,2.784,18.963,1.83,23.577
211,2.589,11.261,1.415,15.265
212,2.406,10.198,1.416,14.019
213,2.441,9.973,1.445,13.859
