frame,preprocess_ms,inference_ms,postprocess_ms,total_ms
0,4.627,8.223,177.469,190.32
1,5.574,7.925,2.053,15.551
2,3.872,7.802,2.591,14.265
3,2.826,8.098,2.967,13.891
4,2.318,8.062,3.31,13.69
5,2.303,8.088,1.99,12.381
6,2.331,7.986,2.048,12.365
7,2.304,7.955,1.905,12.165
8,2.326,8.136,2.038,12.501
9,2.296,7.947,1.838,12.081
10,2.168,7.961,1.969,12.098
11,2.338,7.805,1.857,12.0
12,2.157,7.804,1.771,11.732
13,2.098,7.814,1.846,11.758
14,2.064,7.761,1.775,11.6
15,2.215,7.834,1.868,11.917
16,2.297,7.824,1.833,11.954
17,2.308,7.796,1.931,12.035
18,2.245,7.834,1.963,12.042
19,2.345,7.778,1.887,12.01
20,2.164,7.76,1.778,11.703
21,2.069,7.795,1.796,11.66
22,1.973,7.836,2.051,11.86
23,2.471,7.832,2.055,12.358
24,2.569,7.849,2.12,12.538
25,2.327,5.932,2.584,10.843
26,2.45,6.058,2.435,10.943
27,2.303,6.152,2.052,10.508
28,2.357,5.843,1.789,9.99
29,2.095,5.864,1.752,9.711
30,1.99,5.842,1.744,9.577
31,2.036,5.847,1.725,9.608
32,2.022,5.821,1.835,9.677
33,2.184,5.866,1.89,9.94
34,2.284,5.894,1.76,9.937
35,2.242,5.76,1.899,9.9
36,2.21,5.749,1.776,9.734
37,2.06,5.808,1.963,9.831
38,1.947,5.739,1.755,9.442
39,2.128,5.719,1.832,9.679
40,2.022,5.756,1.832,9.611
41,1.988,5.758,1.837,9.583
42,2.4,5.837,1.809,10.047
43,2.26,5.789,1.774,9.824
44,2.251,5.762,2.108,10.121
45,2.296,4.912,1.866,9.074
46,2.132,4.882,1.845,8.859
47,2.107,4.87,1.875,8.853
48,2.312,5.061,1.921,9.294
49,2.098,4.891,1.713,8.701
50,1.9,4.825,1.667,8.392
51,1.918,4.878,1.725,8.521
52,1.936,4.844,1.689,8.47
53,1.977,4.856,1.643,8.475
54,1.959,4.862,1.839,8.66
55,2.065,4.882,1.965,8.913
56,2.013,4.963,1.765,8.741
57,2.237,4.811,1.745,8.793
58,2.09,4.84,1.703,8.633
59,1.925,4.844,1.693,8.463
60,1.986,4.809,1.716,8.512
61,1.964,4.838,1.758,8.56
62,1.812,4.787,1.704,8.303
63,1.907,4.775,2.046,8.728
64,2.433,4.796,1.762,8.991
65,2.157,4.836,1.804,8.797
66,2.253,4.888,1.961,9.102
67,2.229,4.877,1.923,9.029
68,2.133,4.299,1.791,8.223
69,2.163,4.387,1.9,8.451
70,2.189,4.312,1.776,8.276
71,2.104,4.337,1.713,8.154
72,2.048,4.306,1.668,8.022
73,2.034,4.336,1.646,8.016
74,2.064,4.343,1.714,8.121
75,1.869,4.376,1.712,7.957
76,1.856,4.317,2.014,8.187
77,2.21,4.281,1.651,8.142
78,2.002,4.417,1.699,8.119
79,1.88,4.295,2.057,8.232
80,2.862,4.471,1.768,9.101
81,2.036,4.328,1.695,8.059
82,1.894,4.287,1.686,7.867
83,1.995,4.34,1.698,8.033
84,2.032,4.316,1.725,8.072
85,1.904,4.267,1.604,7.775
86,1.841,4.331,1.923,8.095
87,2.388,4.33,1.93,8.647
88,2.093,4.478,1.759,8.33
89,2.145,4.315,1.906,8.365
90,2.205,4.386,1.884,8.475
91,2.337,4.309,2.05,8.697
92,2.009,4.297,1.772,8.077
93,1.878,4.244,1.698,7.82
94,2.086,4.249,1.798,8.133
95,2.04,4.244,1.779,8.064
96,2.044,4.235,1.768,8.047
97,2.106,4.259,1.788,8.153
98,2.121,4.247,1.737,8.105
99,2.309,4.225,1.782,8.316
100,1.981,4.237,1.758,7.976
101,1.964,4.251,2.466,8.68
102,2.337,4.281,1.999,8.617
103,2.09,4.331,1.646,8.067
104,1.96,4.253,1.706,7.92
105,1.966,4.302,1.76,8.027
106,2.071,4.24,1.77,8.081
107,1.927,4.259,1.751,7.937
108,1.797,4.236,1.641,7.674
109,2.002,4.326,1.761,8.088
110,1.934,4.258,1.617,7.809
111,1.862,4.349,1.637,7.848
112,2.177,4.637,2.9,9.713
113,2.411,4.454,2.736,9.601
